,"The Givers' Guide is a Project Created and Coordinated by Frayde Yudkowsky, LSW, LMSW, CTP. The Givers' Guide is a constant work in progress. Please email any corrections, additions or changes to Hello@GiversGuide.org",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAME,TYPE,LOCATION OF AGENCY/FACILITY,LOCATION SERVED,PHONE NUMBER ,ALT. PHONE NUMBER ,FAX NUMBER ," Director/Manager/
Supervisor",EMAIL ADDRESS,DESCRIPTION ,WEBSITE ,FACEBOOK,INSTAGRAM,TWITTER,LINKEDIN,NOTES ,,,,,,,,,,,,,,,,,,,,,
ABUSE PREVENTION AND SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magen,Sexual Abuse,941 Givat Sharet 9910901,Israel,Hotline: 02-372-4073,,,"Shana Aaronson, Bs.",support@magen-Israel.org,"Raising awareness and promoting child-safety through educational events, creating and publishing resources for parents and educators, and through mainstream and social media. Advocates for survivors of sexual abuse and exploitation within their communities, institutions and through the justice system. Supports survivors of sexual abuse with therapeutic and communal resources, connecting them with mental health services, subsidized therapy, and support groups.",magen-israel.org ,https://www.facebook.com/magen.lotishtok/ ,https://www.instagram.com/magenforcommunities/?igshid=c7hfy88938t6 ,,,,,,,,,,,,,,,,,,,,,,,,
Misgav,Mental Health,23 nadvorna Baetar Illit,israel,02-5808008,052-7628031,02-5807493,Moti Pindrus,mpindrus@misgav.org,Free and Culturally Attuned Matching with Mental Health Specialists,www.misgav.org,misgav2@gmail.com,misgav2@gmail.com,misgav2@gmail.com,misgav2@gmail.com,misgav2@gmail.com,,,,,,,,,,,,,,,,,,,,,
Bat Melech,Domestic Violence,"Jerusalem, Israel",International,972-2-633-8927,Hotline (Israel) - 1(800)292-333,,,batmelech.office@gmail.com,"Bat Melech provides assistance to abused Orthodox and Ultra-Orthodox woman. They provide shelter, Mental and legal help to abused Orthodox woman suffering from domestic violence and are in life threatening situations.",batmelech.org,,,,,,,,,,,,,,,,,,,,,,,,,,
The Place-The Jerusalem Centre for Emotional Wellbeing,Psychotherapy Clinic,"2 Sheshet Haymim, Apt 19, Knissa Gimmel, Jerusalem, Israel",Everywhere (we can work virtually),25818299.0,972-54-260-1468,No,Lena Shore,lenashore@theplace.org.il,"The Place connects the best therapists to you and your unique situation. At The Place, discover the freedom and safety to move past your issues to live your life. Our goal is to help each of our clients discover his or her own strengths as powerful tools in the healing process.
 
The Place offers individual therapy; support groups; teletherapy; interactive lectures; and educational classes. Our comfortable and confidential clinic allows you and your family to create positive change. We believe that the key to mental health and emotional wellbeing is inside you.",www.ThePlace.org.il,theplacejerusalem,theplacejerusalem,theplacecentre,ThePlace Jerusalem,Providing top quality therapy and emotional support to improve people's lives,,,,,,,,,,,,,,,,,,,,,
BEHAVIORAL HEALTH CLINICS AND SERVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliza Schulman,Group and Therapy Practice,Virtual,USA and Israel,5165240464.0,533814383.0,0.0,Self,schulmanaliza@gmail.com,Ongoing groups for woman who married to men who experience ( same sex attraction) and for woman who have husbands who utilize pornography,Www.alizaschulman.com,Aliza Schulman,Aliza Schulman,0.0,Aliza Schulman,Ongoing Group for woman who have partners experience who SSA and for woman who have partners who watch pornography,,,,,,,,,,,,,,,,,,,,,
Ari Hoffman Psychotherapy,Couples and Family,"חד נס 505,Mevo Beitar, Israel Israel Standard Time",Israel and Colorado,303-803-4832,055-500-3291,None,Ari Hoffman,arihoffmanlpc@gmail.com,Couples and Family Counseling in person and virtually,www.arihoffmantherapy.com,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,
Bait Cham,Mental Health,"HaRav Kahanman St 72, Bnei Brak",Israel,(1) (599) 510-550,,,Rabbi Shmuel Munk,office@bayit-cham.org.il,"Provides vocational rehabilitation centers, community clinics across Israel, mental health awareness through seminars, conferences and events, Sexual trauma treatment centers and post-trauma support.",bayit-cham.org.il ,https://www.bayit-cham.org.il/ ,,,https://www.bayit-cham.org.il ,,,,,,,,,,,,,,,,,,,,,,
